contract_id,employee_id
1,87
1,93
1,3
2,91
2,95
2,48
3,65
3,14
3,22
3,8
3,54
4,68
4,39
4,36
4,62
4,6
5,75
5,58
6,32
6,6
7,6
7,23
7,35
8,83
9,11
9,46
9,36
9,79
9,83
10,42
10,31
11,50
11,87
11,42
12,17
12,8
12,37
12,97
13,7
13,42
13,31
13,39
13,84
14,52
14,16
14,68
14,79
14,51
15,67
16,81
16,5
16,23
16,29
17,48
17,28
17,11
18,13
18,76
19,82
19,18
19,89
19,63
19,22
20,35
20,96
20,81
20,51
20,10
21,99
21,66
21,6
21,88
22,67
22,33
22,13
23,66
23,33
23,39
23,31
24,81
25,58
26,41
26,56
26,85
26,93
26,24
27,70
27,83
27,77
27,34
27,74
28,83
28,48
29,22
29,58
29,41
30,87
30,43
31,12
32,19
33,77
33,14
33,49
34,33
34,68
34,37
34,97
34,23
35,99
36,57
36,52
36,69
37,18
38,7
38,59
39,89
39,35
39,14
39,100
40,81
40,62
40,67
41,14
41,86
41,72
42,46
43,19
43,96
43,95
44,28
44,65
45,91
45,4
45,80
46,36
46,13
46,43
46,8
46,100
47,25
48,34
48,81
48,29
48,77
49,76
49,51
49,94
49,87
49,31
50,11
50,15
50,4
51,41
51,100
51,83
51,75
52,61
52,15
53,4
53,6
53,45
54,60
54,64
54,90
54,35
54,25
55,29
55,33
55,48
55,98
55,88
56,83
57,54
57,51
57,4
57,61
58,70
58,44
58,82
59,35
59,84
59,1
59,41
59,75
60,30
61,18
61,27
61,21
61,72
62,42
62,38
62,56
62,64
62,13
63,58
64,25
64,90
64,72
64,61
64,4
65,98
65,80
65,95
66,14
66,23
66,42
66,61
67,90
67,25
68,79
69,74
69,1
69,29
69,93
70,100
71,14
72,2
72,56
72,66
73,23
74,34
75,48
75,91
75,72
76,79
76,17
77,40
77,52
77,23
78,56
79,18
80,7
81,4
82,77
83,4
83,26
84,80
84,50
85,57
85,60
86,94
86,46
86,19
86,15
86,18
87,59
87,18
87,83
88,58
88,1
89,75
89,49
89,32
90,13
90,3
91,77
91,22
91,41
91,40
91,87
92,66
92,54
92,40
92,14
93,36
93,21
93,97
93,5
94,43
94,4
94,26
94,95
95,26
96,97
96,95
96,50
97,97
97,48
97,40
97,51
98,27
98,97
98,23
99,45
99,94
99,7
100,44
100,49
