id,duration,hourly_rate,employee_id,contract_id,date
1,8,55,55,1,2007-07-30
2,4,42,48,2,2010-08-04
3,4,50,48,3,2009-09-26
4,3,82,96,4,2010-03-28
5,7,95,94,5,2009-08-05
6,3,21,19,6,2009-07-20
7,6,62,21,7,2009-04-11
8,2,99,47,8,2008-12-14
9,6,33,36,9,2006-10-29
10,6,73,100,10,2010-07-02
11,7,99,9,11,2010-01-30
12,3,36,46,12,2010-01-22
13,3,95,6,13,2010-08-10
14,8,28,80,14,2008-12-08
15,4,49,32,15,2009-12-10
16,5,63,38,16,2007-12-13
17,7,64,24,17,2010-05-25
18,6,87,62,18,2009-10-17
19,4,35,92,19,2010-03-14
20,2,32,13,20,2008-12-11
21,3,66,56,21,2008-06-11
22,4,35,22,22,2010-08-01
23,3,64,11,23,2010-07-26
24,5,24,7,24,2009-02-05
25,7,25,29,25,2008-11-13
26,5,67,13,26,2009-01-24
27,3,45,8,27,2007-09-20
28,3,35,69,28,2010-06-26
29,7,93,52,29,2010-06-11
30,4,26,46,30,2009-05-29
31,4,67,21,31,2007-06-20
32,8,94,82,32,2007-08-27
33,3,78,56,33,2007-07-31
34,8,70,53,34,2008-03-14
35,3,76,1,35,2006-07-11
36,8,27,46,36,2009-06-05
37,7,87,4,37,2009-02-28
38,2,35,85,38,2008-09-14
39,5,47,90,39,2007-08-24
40,7,49,70,40,2008-05-05
41,3,100,26,41,2010-02-28
42,8,26,55,42,2008-02-13
43,3,69,5,43,2010-08-07
44,4,48,35,44,2009-11-22
45,8,47,88,45,2010-07-21
46,3,36,93,46,2009-08-27
47,6,75,59,47,2009-03-08
48,7,75,19,48,2010-07-20
49,6,41,10,49,2010-02-12
50,8,87,74,50,2010-07-21
51,2,34,51,51,2007-07-06
52,3,70,53,52,2008-07-25
53,4,62,40,53,2009-12-08
54,5,71,13,54,2009-06-05
55,2,95,100,55,2010-07-27
56,5,66,22,56,2010-04-04
57,3,65,60,57,2010-01-12
58,3,98,53,58,2007-07-16
59,2,66,4,59,2010-03-21
60,3,61,74,60,2008-08-19
61,2,48,19,61,2009-07-13
62,2,33,46,62,2010-03-17
63,2,21,80,63,2010-07-09
64,2,30,95,64,2009-05-24
65,7,80,10,65,2008-02-17
66,3,79,38,66,2009-04-27
67,4,55,76,67,2010-06-11
68,8,20,48,68,2009-07-07
69,6,82,69,69,2010-08-06
70,6,82,63,70,2009-05-01
71,7,94,41,71,2007-10-29
72,7,32,50,72,2009-12-22
73,3,91,44,73,2010-05-23
74,7,34,32,74,2010-04-30
75,8,69,79,75,2009-04-16
76,6,40,23,76,2008-07-27
77,3,75,46,77,2009-03-01
78,7,91,50,78,2010-05-06
79,3,65,51,79,2008-05-27
80,2,84,29,80,2008-05-20
81,2,42,29,81,2009-03-30
82,7,35,24,82,2010-07-06
83,5,91,14,83,2010-05-04
84,7,40,23,84,2007-09-27
85,6,30,76,85,2010-06-01
86,3,35,27,86,2009-06-20
87,8,41,85,87,2008-12-22
88,5,28,52,88,2010-04-30
89,8,83,20,89,2008-01-10
90,2,95,83,90,2007-06-30
91,5,53,42,91,2010-06-16
92,2,36,51,92,2008-09-11
93,8,82,95,93,2010-08-20
94,3,64,57,94,2008-07-13
95,3,44,80,95,2009-01-27
96,4,70,81,96,2009-10-21
97,6,58,98,97,2010-05-30
98,5,61,9,98,2010-04-10
99,2,96,75,99,2008-04-06
100,8,61,49,100,2008-04-19
